     xj
xi         1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99    100
  1        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  2        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  3        0      0 682948 131732  54312  27832  15508   9612   5950   4056   2860   2186   1989   1413   1063    916    783    630    454    409    358    308    275    198    197    188    190    151    117     97     98    116     98    107     88     57     87     54     51     45     27     63     72     62     58     15     16     16     44     74     14     16      9     10     13     79     20     12     18     37     19     11      6      6     15     57      0      0      0     13      8      6      6      0     36     14     18     16     11      0      6      6      0      6     17      0     11      0      0      0      0      6      6      0      0      0      6      0      0      0
  4        0      0 144246 125139  64186  33010  18418  11257   6676   4487   3159   2362   2123   1561   1205    978    830    644    562    419    372    323    295    246    195    216    224    176    134     98    122    148    138    132    117     85     86     58     58     30     38     62     86     53     50     22     21     16     35     68     15     11     10     11     16     94     11     13     12     41     19      9      8      6     14     39      8      6      0     11      7      6      6      6     33     20      9     15      7      0      6      6      0      0     14      0      9      0      0      0      0      0      0      0      0      0      6      0      0      0
  5        0      0  63712  63104  64877  40347  23133  13952   8214   5360   3747   2706   2478   1780   1297   1106    926    743    631    494    415    354    298    289    225    240    217    185    172    115    135    119    114    125    117    103     87     80     58     50     33     64     94     57     66     21     11     14     43     73     16     15     13     15     12     85      9     14     14     45     24      7      9      0     12     62     10      7      6      6      6      6      8      6     26     21     17     16      0      0      0      0      0      6     14      6     11      0      0      0      0      6      6      0      0      0      6      0      0      0
  6        0      0  32544  35228  38317  39791  27620  17744  10512   6486   4354   3236   2806   1962   1434   1220   1078    830    715    549    447    389    330    328    279    279    276    234    147    138    134    139    141    158    141     85     88     88     61     61     34     78     96     65     76     22     23     19     58     87     15     19     14     14      7     99     18     16     14     42     25     11     11     12      8     45      7      6      6     15      7      6      8      6     24     12     18     15     10      0      0      0      0      0     21      6      8      0      0      0      6      7      6      0      0      0      7      0      0      0
  7        0      0  17496  21179  22927  25200  26413  19585  12520   8060   5331   3835   3301   2383   1726   1424   1181    939    753    635    507    480    419    369    319    317    268    218    158    142    128    153    151    161    138    118     96     79     75     46     43     83     92     75     66     26     24     20     54     86     22      9      8     10     17    105     24     16     17     44     27      6      8     19     14     57      6      6      7     12     12     10      6      6     35     20     20     16      8      6      0      0      0      6     13      6      8      0      0      0      0      6      0      0      0      0      0      0      0      0
  8        0      0  10345  13429  14980  16687  17973  19078  13959   9437   6579   4717   4102   2808   2039   1603   1379   1005    861    790    604    517    448    365    286    326    334    223    209    179    188    196    183    162    164    130    109    102     83     59     49     78    126     84     78     33     16     24     72     97     19     26     15     15     17     86     20     20     13     54     37     12      7     14     14     40      6      0      7     16     10      7      6      8     39     16     13     18     13      0      0      0      0      6     13      0     13      0      0      0      0      0      6      0      0      0      6      0      0      0
  9        0      0   5670   8099   9047  10257  11479  12715  12312   9936   6943   5259   4573   3164   2181   1711   1453   1099    864    797    617    488    440    399    389    323    314    269    207    138    196    201    122    174    147    121    116    104     83     50     45     73    119     95     64     23     26     23     53    103     23     25      7     13      6    114     22     17     17     57     27      9      8      6     11     63     10      6     13     12      7      6      6      6     34     25     19     10     11      0      6      0      0      0     16      0      8      0      0      0      0      0      6      0      0      6      6      0      0      0
  10       0      0   3475   5093   5985   6690   7617   8548   8544   8393   7060   5465   4727   3435   2468   1852   1567   1153    934    760    682    528    475    395    347    332    350    279    205    179    156    198    145    176    191    131    117    111     77     57     37     98    114     91     78     24     30     26     74     78     12     11     10     17     23     94     15     20     20     54     18     12      8     13     21     52      6      7      9     19      6      6      0      6     32     18     16      9      6      0      0      0      0      6      9      0      7      0      0      0      0      0      0      0      0      0      7      0      0      0
